system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,NDBI,NDVI,NDWI,class,random,.geo
1_1_1_1_2_0_131,2135,1534,1122,1316,1163,1647,2673,3056,3072,3127,-0.11959423,-0.17995007,0.45076743,-0.4001823,0,0.44904396022427817,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.9396843682936,43.480336102661326]}"
1_1_1_1_2_0_132,2135,1534,1146,1350,1182,1647,2673,3056,3348,3127,-0.15068494,-0.22122926,0.4781457,-0.42528737,0,0.5628974079043124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939807951695627,43.48033400543003]}"
1_1_1_1_2_0_133,2316,1609,1130,1380,1208,1764,3034,3226,3684,3523,-0.15471336,-0.228,0.5061325,-0.4549763,0,0.07984880498144997,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939931535084334,43.480331908065246]}"
1_1_1_1_2_0_134,2316,1609,1172,1393,1240,1764,3034,3226,3416,3523,-0.12671906,-0.1919051,0.46735394,-0.4206696,0,0.5473302710391367,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940055118459721,43.48032981056698]}"
1_1_1_1_2_0_135,2314,1650,1158,1320,1217,1733,2821,3080,3110,3318,-0.0944993,-0.14675516,0.43748555,-0.4040632,0,0.14991795526220897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940178701821786,43.48032771293523]}"
1_1_1_1_2_0_137,2494,1866,1148,1347,1232,1877,2925,3133,3244,3391,-0.082039915,-0.13070756,0.4495085,-0.41319975,0,0.6933649825452947,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940425868505946,43.48032351727126]}"
1_1_1_1_2_0_138,2494,1866,1289,1494,1439,1877,2925,3133,3474,3391,-0.095446184,-0.16420911,0.41420722,-0.39855072,0,0.4119333449752035,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.94054945182804,43.48032141923905]}"
1_1_1_1_2_0_139,2419,1737,1274,1494,1372,1805,2830,3112,3440,3258,-0.1085244,-0.17426182,0.42975894,-0.39440617,0,0.578524465304662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940673035136811,43.480319321073345]}"
1_1_1_1_2_0_142,2264,1631,1153,1358,1207,1736,2817,3054,3188,3232,-0.11136713,-0.16947909,0.45073947,-0.40255168,0,0.11836382775712362,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.941043784983163,43.48031302577534]}"
1_1_1_1_2_0_143,2352,1705,1134,1366,1222,1808,2911,3193,3342,3363,-0.11204969,-0.17386723,0.4645048,-0.41971114,0,0.3424139523552958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.941167368238625,43.4803109270757]}"
1_1_1_1_2_0_144,2259,1576,1144,1326,1223,1637,2699,3006,3082,3157,-0.09652309,-0.154091,0.43182346,-0.3983666,0,0.4148893091946969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.93869282208301,43.48026288402648]}"
1_1_1_1_2_0_145,2259,1576,1189,1356,1248,1637,2699,3006,3222,3157,-0.114170246,-0.17569786,0.44161072,-0.40760157,0,0.5342841236043229,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.93881640540835,43.480260787869625]}"
